Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
1988-07-21,37.88,37.88,37.38,37.5,548500.0,0.0,1.0,2.5840053099772,2.5840053099772,2.5498975313344,2.5580833982087,2194000.0
1988-07-22,37.5,37.62,36.75,36.88,448700.0,0.0,1.0,2.5580833982087,2.5662692650829,2.5069217302445,2.5157897526916,1794800.0
1988-07-25,37.12,37.12,36.75,37.0,323700.0,0.0,1.0,2.5321614864401,2.5321614864401,2.5069217302445,2.5239756195659,1294800.0
1988-07-26,37.25,37.5,36.88,37.38,213000.0,0.0,1.0,2.5410295088873,2.5580833982087,2.5157897526916,2.5498975313344,852000.0
1988-07-27,37.5,37.5,36.75,36.88,264200.0,0.0,1.0,2.5580833982087,2.5580833982087,2.5069217302445,2.5157897526916,1056800.0
1988-07-28,37.0,37.25,36.75,37.25,156100.0,0.0,1.0,2.5239756195659,2.5410295088873,2.5069217302445,2.5410295088873,624400.0
1988-07-29,37.38,38.5,37.25,38.0,446700.0,0.0,1.0,2.5498975313344,2.6262989554942,2.5410295088873,2.5921911768514,1786800.0
1988-08-01,38.38,38.5,38.0,38.38,255400.0,0.0,1.0,2.6181130886199,2.6262989554942,2.5921911768514,2.6181130886199,1021600.0
1988-08-02,38.62,38.62,38.12,38.25,484900.0,0.0,1.0,2.6344848223685,2.6344848223685,2.6003770437257,2.6092450661728,1939600.0
1988-08-03,38.38,38.75,38.25,38.62,664500.0,0.0,1.0,2.6181130886199,2.6433528448156,2.6092450661728,2.6344848223685,2658000.0
1988-08-04,38.62,38.62,38.0,38.25,459800.0,0.0,1.0,2.6344848223685,2.6344848223685,2.5921911768514,2.6092450661728,1839200.0
1988-08-05,38.12,38.25,37.88,38.25,163200.0,0.0,1.0,2.6003770437257,2.6092450661728,2.5840053099772,2.6092450661728,652800.0
1988-08-08,38.5,38.62,38.0,38.0,183200.0,0.0,1.0,2.6262989554942,2.6344848223685,2.5921911768514,2.5921911768514,732800.0
1988-08-09,38.38,38.38,37.25,37.38,304100.0,0.0,1.0,2.6181130886199,2.6181130886199,2.5410295088873,2.5498975313344,1216400.0
1988-08-10,37.5,37.5,36.75,37.0,230600.0,0.0,1.0,2.5580833982087,2.5580833982087,2.5069217302445,2.5239756195659,922400.0
1988-08-11,37.38,37.5,36.75,37.25,574400.0,0.0,1.0,2.5498975313344,2.5580833982087,2.5069217302445,2.5410295088873,2297600.0
