Company;Date;Open;High;Low;Close;Volume;Ex-Dividend;Split Ratio;Adj. Open;Adj. High;Adj. Low;Adj. Close;Adj. Volume
T Mobile;11/3/16;37.84;38.15;37.47;37.75;6587091.0;0.0;1.0;37.84;38.15;37.47;37.75;6587091.0
T Mobile;10/3/16;38.48;38.75;37.47;37.57;5178938.0;0.0;1.0;38.48;38.75;37.47;37.57;5178938.0
T Mobile;9/3/16;39.0;39.03;38.16;38.2;6058677.0;0.0;1.0;39.0;39.03;38.16;38.2;6058677.0
T Mobile;8/3/16;38.62;39.1;38.33;38.95;4638720.0;0.0;1.0;38.62;39.1;38.33;38.95;4638720.0
T Mobile;7/3/16;38.24;39.2;38.24;38.64;4463354.0;0.0;1.0;38.24;39.2;38.24;38.64;4463354.0
T Mobile;4/3/16;39.12;39.51;38.38;38.48;3446762.0;0.0;1.0;39.12;39.51;38.38;38.48;3446762.0
T Mobile;3/3/16;39.5;39.79;38.77;38.97;6974775.0;0.0;1.0;39.5;39.79;38.77;38.97;6974775.0
T Mobile;2/3/16;38.54;38.815;37.69;38.77;2544095.0;0.0;1.0;38.54;38.815;37.69;38.77;2544095.0
T Mobile;1/3/16;37.03;38.69;37.0;38.65;4224342.0;0.0;1.0;37.03;38.69;37.0;38.65;4224342.0
T Mobile;29/2/16;37.48;38.015;37.09;37.1;4386264.0;0.0;1.0;37.48;38.015;37.09;37.1;4386264.0
T Mobile;26/2/16;37.36;37.78;36.57;37.47;4714902.0;0.0;1.0;37.36;37.78;36.57;37.47;4714902.0
T Mobile;25/2/16;37.0;38.44;36.9;38.36;4313447.0;0.0;1.0;37.0;38.44;36.9;38.36;4313447.0
T Mobile;24/2/16;36.16;37.0;35.815;36.78;7954498.0;0.0;1.0;36.16;37.0;35.815;36.78;7954498.0
T Mobile;23/2/16;35.8;36.4;35.52;36.2;2826952.0;0.0;1.0;35.8;36.4;35.52;36.2;2826952.0
T Mobile;22/2/16;35.56;35.98;35.28;35.83;4944571.0;0.0;1.0;35.56;35.98;35.28;35.83;4944571.0
T Mobile;19/2/16;36.33;36.64;34.865;34.95;5286907.0;0.0;1.0;36.33;36.64;34.865;34.95;5286907.0
T Mobile;18/2/16;37.11;37.45;36.45;36.63;4004846.0;0.0;1.0;37.11;37.45;36.45;36.63;4004846.0
T Mobile;17/2/16;38.31;38.31;35.86;36.85;9705897.0;0.0;1.0;38.31;38.31;35.86;36.85;9705897.0
T Mobile;16/2/16;35.78;36.535;35.05;36.45;4422525.0;0.0;1.0;35.78;36.535;35.05;36.45;4422525.0
T Mobile;12/2/16;34.59;35.27;34.01;35.11;3200574.0;0.0;1.0;34.59;35.27;34.01;35.11;3200574.0
T Mobile;11/2/16;33.78;34.42;33.6;34.03;3960539.0;0.0;1.0;33.78;34.42;33.6;34.03;3960539.0
T Mobile;10/2/16;34.31;35.195;33.72;34.57;3776156.0;0.0;1.0;34.31;35.195;33.72;34.57;3776156.0
T Mobile;9/2/16;33.75;34.39;33.23;33.89;8213983.0;0.0;1.0;33.75;34.39;33.23;33.89;8213983.0
T Mobile;8/2/16;35.42;35.53;33.53;33.96;6731729.0;0.0;1.0;35.42;35.53;33.53;33.96;6731729.0
T Mobile;5/2/16;39.05;39.085;35.39;35.66;7554588.0;0.0;1.0;39.05;39.085;35.39;35.66;7554588.0
